INFO:root:Processed 0 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions%2F3D.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:root:Op code: 4, Current count: 2.0, Max count: , Progress done: 0, Message: done
DEBUG:root:Op code: 129, Current count: 1.0, Max count: 2.0, Progress done: 0, Message: 
DEBUG:root:Op code: 128, Current count: 2.0, Max count: 2.0, Progress done: 1, Message: 
DEBUG:root:Op code: 128, Current count: 2.0, Max count: 2.0, Progress done: 1, Message: 
DEBUG:root:Op code: 9, Current count: 617.0, Max count: 617.0, Progress done: 1, Message: 
DEBUG:root:Op code: 8, Current count: 617.0, Max count: 617.0, Progress done: 1, Message: 
DEBUG:root:Op code: 33, Current count: 1.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 21.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 42.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 63.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 84.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 105.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 126.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 147.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 168.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 189.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 210.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 231.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 252.0, Max count: 2094.0, Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 256.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 273.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 294.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 315.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 336.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 356.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 377.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 398.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 419.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 440.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 461.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 482.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 503.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 524.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 545.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 566.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 587.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 608.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 629.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 650.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 671.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 692.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 712.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 733.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 754.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 775.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 796.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
